"ID"	"First_Author"	"NIST_Author"	"Journal"	"Year"	"Volume"	"m_1st_Page"	"PDF_Avail"	"Instrument"	"CHRNS_"	"Title"	"Second_Author"	"Third_Author"	"m_4th_Plus_Authors"	"Topic"	"Subtopic"	"Abstract"
13	"Chen SH"	0	"Molecular Simulation"	"2003"	"29 (10-11)"	"611"	0	"NG7SANS"	"NOT CHRNS"	"Observation of liquid-to-glass and glass-to-glass transitions in L64/D2O triblock copolymer micellar system"	"Chen WR"	"Mallamace F"		"Complex fluids"	"Pluronics phases"	"Journal not available online"
14	"Chen SH"	0	"Science"	"2003"	"300 (5619)"	"619"	1	"NG7SANS"	"NOT CHRNS"	"The glass-to-glass transition and its end point in a copolymer micellar system"	"Chen WR"	"Mallamace F"		"Complex fluids"	"Pluronics phases"	"Need subscription to online journal"
15	"Chen SH"	0	"Colloids & Surfaces A"	"2001"	"183"	"95"	1	"NG7SANS"	"NOT CHRNS"	"Interaction, critical, percolation and kinetic glass transitions in pluronic L-64 micellar solutions"	"Liao C"	"Fratini E"	"Baglioni P, Mallamace F"	"Complex fluids"	"Pluronics phases"	"Online access to volumes >187 only"
16	"Chen SH"	0	"European Physics Journal, E"	"2002"	"9 (3)"	"283"	0	"NG7SANS"	"NOT CHRNS"	"Observation of a re-entrant kinetic glass transition in a micellar system with temperature-dependent attractive interaction"	"Mallamace F"	"Faraone A"	"et al."	"Complex fluids"	"Pluronics phases"	"Volume not available online"
17	"Chen WR"	0	"Physical Review E"	"2002"	"66 (2)"	"021403"	1	"NG7SANS"	"NOT CHRNS"	"Small-angle neutron scattering study of the temperature-dependent attractive interaction in dense L64 copolymer micellar solutions and its relation to kinetic glass transition"	"Chen SH"	"Mallamace F"		"Complex fluid"	"Pluronics phases"	"We made small-angle neutron scattering (SANS) study of a Pluronic L64 micellar system in aqueous solution at high polymer concentrations (wt %), 35%<c<53%, in a temperature range where a kinetic glass transition has been observed by photon correlation spectroscopy and zero shear viscosity measurements. We analyze SANS intensity distributions assuming that the micelles are spherical and interact among themselves by an effective pair potential, consisting of a hard core plus a narrow attractive square well, the depth of which is temperature dependent. The theory is able to account for the intensity distribution quantitatively when the micellar system is in the liquid phase (but qualitatively when the micellar system is in the glass state), giving values of four parameters: the aggregation number of the micelle N, the volume fraction occupied by the micelles , the fractional width of the square well , and the effective temperature T* = kBT/u, where –u is the depth of the square well. Thus, we are able to assign a point in the phase diagram (the T*- plane) for each measured micellar liquid and glass state. Comparison with a phase diagram predicted recently by mode coupling theory calculation allows us to identify the existence of the so-called liquid-to-attractive-glass transition line. We also found the evidence of glass-to-glass transition at volume fraction of 0.54 predicted by the mode coupling theory."
18	"Choi SM"	0	"Physica A"	"2002"	"304 (1-2)"	"85"	1	"NG7SANS"	"NOT CHRNS"	"The existence of three length scales and their relation to the interfacial curvatures in bicontinuous microemulsions"	"Chen SH"	"Sottmann T"	"et al."	"Complex fluids"	"Bicontinuous phase"	"Issues not available online"
19	"Co CC"	0	"Macromolecules"	"2001"	"34 (10)"	"3224"	1	"NG3SANS"	"CHRNS"	"Microemulsion polymerization. 1. Small-angle neutron scattering study of monomer partitioning"	"de Vries R"	"Kaler EW"		"Polymers"	"Polymerization"	"To achieve a better understanding of the kinetics of microemulsion polymerization, we have examined monomer partitioning between micelles and polymer particles during polymerization of aqueous microemulsions of dodecyltrimethylammonium bromide surfactant and styrene, n-butyl methacrylate, tert-butyl methacrylate, and n-hexyl methacrylate monomers. Polymerizing microemulsions are simulated by equilibrium mixtures of unpolymerized and fully polymerized microemulsions for which the monomer partitioning is accurately measured using small-angle neutron scattering. Experimental results are semiquantitatively reproduced by modeling the monomer partitioning as a competition between the Flory-Huggins bulk polymer free energy and the Helfrich curvature elastic energy of the surfactant monolayers."
20	"Crichton M"	0	"Journal of Applied Crystallography"	"2003"	"36 (3, Part1)"	"652"	1	"NG3SANS and USANS"	"CHRNS"	"Structure and intermicellar interactions in block polyelectrolyte assemblies"	"Bhatia S"			"Polymers"	"Polyelectrolytes"	"Abstract not available online"
21	"Croce V"	0	"Langmuir"	"2004"	"19 (20)"	"8536"	1	"NG3SANS"	"CHRNS"	"Rheology, cryogenic transmission electron microscopyy, and small-angle neutron scattering of highly viscoelastic wormlike micellar solutions (vol 19, pg 8536, 2003)"	"Cosgrove T"	"Maitland G"	"Hughes T, Karlsson G"	"Complex fluids"	"Wormlike micelles"	"Correction to previous publication"
22	"De Bruyn H"	0	"Polymer"	"2003"	"44 (16)"	"4411"	0	"NG7SANS"	"NOT CHRNS"	"Characterization of electrosterically stabilized polystyrene latex; implications for radical entry kinetics"	"Gilbert RG"	"White JW"	"Schulz J"	"Complex fluid"	"Particle sizes"	"Electrosterically stabilized polystyrene latexes with a poly(acrylic acid) hydrophilic layer with either perdeuterated core or perdeuterated hydrophilic layer were prepared in situ in a styrene/acrylic acid copolymerization, in a manner similar to that commonly employed industrially. Small angle neutron scattering (SANS) measurements were made over a range of contrasts for three latexes at high and low pH. Parameters obtained by fitting to standard core/shell models were consistent with the shell being highly hydrated (about 89% at low pH and about 94% at high pH). The core was found to contain about 3% acrylic acid. Doubling the proportion of acrylic acid in the recipe increased shell thickness by about 20%, slightly reduced particle size and slightly increased the proportion of acrylic acid incorporated into the core. The maximum degree of polymerization (DOP) of the entering (and therefore grafted) species was estimated from the shell thickness to be about 44 monomer units for 0.02 M acrylic acid and 66 for 0.04 M. The observed dependence of hairy layer (shell) thickness on the initial amount of acrylic acid suggests that the critical DOP for entry (and therefore true grafting) of the electrosteric stabilizer is thermodynamically (not kinetically) controlled."
23	"de Vries R"	0	"Macromolecules"	"2001"	"34 (10)"	"3233"	1	"NG3SANS"	"CHRNS"	"Microemulsion polymerization. 2. Influence of monomer partitioning, termination, and diffusion limitations on polymerization kinetics"	"Co CC"	"Kaler EW"		"Complex fluids"	"Polymerization"	"We investigate the polymerization kinetics of microemulsions prepared with the cationic surfactant dodecyltrimethylammonium bromide and the hydrophobic monomers n-butyl methacrylate, tert-butyl methacrylate, n-hexyl methacrylate, and styrene. Our previous model for microemulsion polymerization kinetics cannot account for the kinetics of these systems. Using the results of small-angle neutron scattering monomer partitioning studies and an extended kinetic model to analyze the data, the failure of the original kinetic model is shown to be due to a combination of nonlinear monomer partitioning, nonnegligible bimolecular termination, and, in some cases, diffusion limitations to propagation."
24	"Deyhim A"	0	"Biophysical Journal"	"2002"	"82 (1s)"	"622"	0	"NG3SANS"	"CHRNS"	"Small Angle Neutron Scattering studies of PNA & DNA systems"	"Zhou J"	"Schwartz F"	"et al."	"Biology"	"Dna"	"Not found online"
25	"DiNoia TP"	1	"Macromolecules"	"2003"	"36 (19)"	"7372"	1	"NG3SANS"	"CHRNS"	"Impact of supercritical fluid solvent quality on polymer conformation in semidilute solutions: SANS data for poly(ethylene-co-1-butene) in dimethyl ether to kilobar pressures"	"van Zanten JH"	"Kline SR"	"Garach-Domech A, McHugh M, Wright J, Fetters LJ"	"Polymers"	"Phase behavior under pressure"	"Phase behavior and small-angle neutron scattering (SANS) measurements are reported for poly(ethylene-co-20.2 mol % 1-butene) (PEB10) dissolved in supercritical dimethyl ether (DME). The phase boundary is located at pressures near 600 bar at 130 C, and it exhibits a minimum in temperature near 105 C where the cloud-point pressure rises sharply. Neutron scattering is performed with a high-pressure scattering cell designed for a large incident beam diameter, good mixing, and real-time viewing of the solution to ensure single-phase operation. The SANS results suggest significant variations in intramolecular correlations exist at length scales proportional to a few monomer units although the radius of gyration remains close to the unperturbed value at pressures from the cloud point to as high as 2400 bar. As expected, the intermolecular correlation length grows rapidly on approach to the phase boundary. The phase behavior and SANS data suggest that DME is very poor quality solvent even at high solvent densities."
26	"Eitouni HB"	0	"Macromolecules"	"2002"	"35 (20)"	"7765"	1	"NG3SANS"	"CHRNS"	"Thermodynamic interactions in organometallic block copolymers: Poly(styrene-block-ferrocenyldimethylsilane)"	"Balsara NP"	"Hahn H"	"Pople JA, Hempenius MA"	"Polymers"	"Copolymer phases"	"The thermodynamic interactions in anionically synthesized poly(styrene-block-ferrocenyldimethylsilane) (SF) copolymers were examined using birefringence, small-angle X-ray and neutron scattering (SAXS and SANS). We show that birefringence detection of the order-disorder transition is possible in colored samples provided the wavelength of the incident beam is in the tail of the absorption spectrum. The location of the order-disorder transition was confirmed by SAXS. The temperature dependence of the Flory-Huggins parameter, , of SF copolymers, determined by SAXS, is similar in magnitude to that between polystyrene and polyisoprene chains. We find that is independent of block copolymer composition (within experimental error). We also demonstrate that the neutron scattering length densities of styrene and ferrocenyldimethylsilane moieties are identical due to a surprising cancellation of factors related to density and atomic composition."
27	"Freeman KS"	1	"Langmuir"	"2001"	"17 (13)"	"3912"	1	"NG7SANS"	"NOT CHRNS"	"Size and polydispersity determinations of AOT/bile salt reversed micelles obtained by small-angle neutron scattering"	"Tan NCB"	"Trevino SF"	"Kline SK, McGown LB, Kiserow DJ"	"Complex fluids"	"Micellar structure"	"Previous work has shown that trihydroxy bile salt cosurfactants significantly modify the interfacial properties and aggregate size of Aerosol-OT (AOT) reversed micelles and can also increase the activity of enzymes such as chymotrypsin and lipase that are solubilized in the AOT reversed micelles. In the present work, small-angle neutron scattering (SANS) was used to study the effects of one such bile salt, sodium taurocholate (NaTC), on the size and polydispersity of AOT reversed micelles. At low concentrations, NaTC decreases the overall size of the reversed micelles, the size of the interior water pools, and the apparent thickness of the detergent layer, while causing an increase in polydispersity. At higher NaTC concentrations, the overall aggregate size, the size of the water pools, the thickness of the detergent layer, and the polydispersity all are increased. It is proposed that, at low concentrations, NaTC monomers are randomly dispersed among the AOT molecules in a perpendicular orientation, thereby disrupting the organization of the detergent layer and increasing penetration of heptane and water into the detergent layer. When NaTC is increased, it may form hydrogen-bonded dimers that are aligned parallel to the AOT molecules. In this orientation, there is less disruption of the detergent layer and penetration of heptane and water molecules is reduced. Finally, it was found that reversed micelles containing chymotrypsin are smaller than unoccupied aggregates, suggesting structural reorganization in order to accommodate the protein. From these results, the effects of NaTC on chymotrypsin activity in AOT reversed micelles can be attributed to structural and chemical modification of the detergent layer rather than to changes in the overall dimensions of the reversed micelles."
28	"Gawrys KL"	0	"Petroleum Science Technology"	"2003"	"21 (3-4)"	"461"	0	"NG7SANS"	"NOT CHRNS"	"The role of asphaltene solubility and chemical composition on asphaltene aggregation"	"Spiecker PM"	"Kilpatrick P"		"Complex fluids"	"Asphaltene"	"Journal not available online"
29	"Geissler E"	0	"Macromolecular Symposia"	"2001"	"171"	"171"	1	"NG3SANS"	"CHRNS"	"Structure of polymer solutions and gels containing fillers"	"Hecht AM"	"Horkay F"		"Polymers"	"Polymer gels"	"Journal not available online"
30	"Geissler E"	0	"Macromolecular Symposia"	"2002"	"190"	"23"	1	"NG3SANS"	"CHRNS"	"Structure and dynamics of silica-filled polymers by SANS and coherent SAXS"	"Hecht AM"	"Rochas C"	"Horkay F, Bley F, Livet F"	"Polymers"	"Polymer composites"	"Journal not available online"
31	"Geissler E"	0	"Kaut Gummi Kunstst"	"2001"	"54 (9)"	"446"	0	"NG3SANS"	"CHRNS"	"Neutron scattering from elastomers gels"	"Horkay F"	"Hecht AM"	"et al."	"Polymers"	"Elastomers"	"Journal not available online"
32	"Geissler E"	0	"Filled and Nanocomposite Polymer Materials Symposium"	"2001"	"661"	"KK9.1.1"	0	"NG3SANS"	"CHRNS"	"Small angle scattering and the structure and dynamics of filled and unfilled rubbers"	"Hecht AM"	"Rochas C"	"et al."	"Polymers"	"Polymer composites"	"Journal not available online"
33	"Geissler E"	0	"Scattering Methods for the Investigation of Polymers. 20th Discussion Conference of the Prague Meetings on Macromolecules 23-32 2002"	"2002"			0	"NG3SANS"	"CHRNS"	"Structure and dynamics of silica-filled polymers by SANS and coherent SAXS"	"Hecht AM"	"Rochas C"	"et al."	"Polymers"	"Polymer composites"	"Journal not available online"
34	"Gilra N"	1	"Macromolecules"	"2001"	"34 (22)"	"7773"	1	"NG1SANS and NG3SANS"	"CHRNS"	"A SANS study of the conformational behavior of linear chains in compressed and uncompressed end-linked elastomers"	"Cohen C"	"Briber RM"	"Bauer BJ, Hedden RC, Panagiotopoulos AZ"	"Polymers"	"Polymer networks"	"Small-angle neutron scattering (SANS) experiments were performed to determine the conformational behavior of unattached deuterated linear poly(dimethylsiloxane) (PDMS) chains of Mn = 51 000 g mol-1 in uncompressed and compressed end-linked protonated PDMS networks with a minimal amount of defects. The networks were prepared from low-polydispersity precursor chains with Mn = 9900 g mol-1, 34 800 g mol-1, and 71 500 g mol-1. The samples are hereafter labeled 10K, 35K, and 70K. The mixtures of the 10K network with the linear chains were prepared by cross-linking around the linear chains, while the 35K and 70K network systems were swollen with the linear chains after the network was formed. No significant variation of the radius of gyration of the linear chains was observed as a function of network mesh size, in agreement with recent Monte Carlo simulations. The results from the compressed 35K and 70K networks exhibited excess scattering at small wave vectors, indicating phase segregation, and they could not be quantitatively analyzed. The scattering data from the trapped chains in the compressed 10K networks were fitted well with a Kratky-Porod wormlike chain model, indicating segment alignment consistent with Monte Carlo simulations and deuterium NMR results."
35	"Gonzalez-Leon JA"	0	"Macromolecules"	"2003"	"36 (7)"	"2508"	1	"NG3SANS"	"CHRNS"	"Phase behavior prediction of ternary polymer mixtures"	"Mayes AM"			"Polymers"	"Phase behavior theory"	"A compressible regular solution free energy model for multicomponent polymer blends is developed and used to obtain spinodal curves for three component systems, employing only pure component properties such as coefficients of thermal expansion, densities, and solubility parameters. The ability to predict, at least qualitatively, the phase behavior of the ternary polymer mixtures tetramethylpolycarbonate (TMPC)/polycarbonate (PC)/poly(styrene-r-acrylonitrile) (SAN), and polystyrene (PS)/poly(methyl methacrylate) (PMMA)/poly(styrene-r-methyl methacrylate) (PS-r-PMMA), the polymer-solvent mixture of polystyrene (PS)/poly(methyl methacrylate) (PMMA)/tetrahydrofuran (THF), and the polymer-additive mixture polystyrene (PS)/poly(phenylene oxide) (PPO)/dimethyl phthalate (DMP) is demonstrated through comparison with reported experimental phase diagrams. An expression is derived for the effective interaction energy parameter, eff, relevant to AB values obtained from scattering measurements; values for eff are computed and compared with results from experiments. The model provides a first iteration toward a simple and practical predictive tool that can solve common problems in polymer compounding, for example, choosing an effective compatibilizer for an immiscible polymer blend."
36	"Greenberg CC"	1	"Journal of Polymer Science B"	"2001"	"39 (21)"	"2549"	1	"NG3SANS"	"CHRNS"	"Effective interaction parameter between branched and linear polystyrene"	"Foster MD"	"Turner CM"	"Corona-Galvan S, Cloutet E, Quirk RP, Butler PD, Hawker C"	"Polymers"	"Branched polymers"	"Values of the effective interaction parameter () between regular, long-branched polystyrene chains and their linear analogues were measured with small-angle neutron scattering for several star-branched chains and one comb-type polymer. The contribution to this interaction due to architecture alone increases monotonically with star functionality for the set of polymers studied here. The interaction appears to be less sensitive to variations in arm size than would be expected from fluctuation theory predictions by G. H. Fredrickson, A. Liu, and F. S. Bates (Macromolecules 1994, 27, 2503) for a purely entropic interaction due to architecture. The change in with the volume fraction of the star in the blend is in agreement with the theory, however. The magnitudes of the interaction in the star/linear blends are small enough that bulk phase separation is unlikely, whereas that in the comb/linear blend is about 20 times higher for the same number of arms. Thus, bulk phase separation can be readily expected for comb/linear blends at commercially relevant values of molecular weights."
37	"Gu X"	1	"Symposium (Mater. Res. Soc. Symposium Proceedings Vol.710) 153-8 (2002)"	"2002"	"710"	"153"	0	"NG1SANS"	"NOT CHRNS"	"Nanocharacterization of surface and interface of different epoxy networks Polymer Interfaces and Thin Films."	"Raghavan D"	"Ho DL"	"et al."	"Polymers"	"Polymer networks"	"Journal not available online"
38	"Guo HK"	1	"International Journal of Modern Physics B"	"2003"	"17 (1-2)"	"119"	1	"NG7SANS"	"NOT CHRNS"	"Quantitative analysis of rod like micelle solutions viscosity using microscopic parameters"	"Tao RB"	"Lin MY"		"Complex fluids"	"Model fitting"	"We modify the Hayter-Penfold formalism and gave a quantitative analysis to fit the viscosity of rod-like micelles solutions under shear using measured small-angle neutron scattering (SANS) intensity. The original formalism is applicable to a dilute solution, but we found that the theory can fit our measured results excellently if we use the effective viscosity of the solution in place of the solvent viscosity of the original formalism. The fittings yielded good values just the same as our experiment results."
39	"Guo L"	1	"Journal of Rheology"	"2001"	"45 (5)"	"1223"	1	"NG3SANS"	"CHRNS"	"Micellar structure changes in aqueous mixtures of nonionic surfactants"	"Colby RH"	"Lin MY"	"Dado GP"	"Complex fluids"	"Pluronic structure"	"Rheology and small-angle neutron scattering are used to probe the structure of nonionic surfactant mixtures in water. Small amounts of a C14 diol (Surfynol® 104) cause enormous structural and rheological changes when added to aqueous solutions of an ethylene oxide-propylene oxide-ethylene oxide triblock copolymer (Pluronic® P105). The C14 diol is only soluble up to 0.1 wt % in pure water, but can be added in large quantities to aqueous solutions of the copolymer. The hydrophobic diol incorporates into the existing copolymer micelles and causes a cascade of changes in the micelle structure, with resultant changes in rheology. Particularly striking is the spherical to worm-like micelle transition, where the viscosity changes by a factor of more than 104."
40	"Hammouda B"	0	"Macromolecules"	"2002"	"35 (22)"	"8578"	1	"NG3SANS"	"CHRNS"	"SANS from poly(ethylene oxide)/water systems"	"Ho D"	"Kline S"		"Polymers"	"Polymer solutions"	"The poly(ethylene oxide) (PEO)/water system is investigated using small-angle neutron scattering (SANS). This system associates to form hydrogen-bonded clusters at high enough concentrations. Two correlation lengths are observed: one long range representing cluster sizes and the other short range representing polymer chain correlations. Clusters are formed at a volume fraction of 4% hPEO in D2O. An LCST transition is obtained between a mixed phase (through hydrogen bonding) and a demixed two-phase region. Solvent deuteration is seen to enhance hydrogen bonding. Deuteration of the polymer backbone is seen to enhance hydrophobic interactions. The average polymer contrast match method fails due to the isotopic dependence of specific interactions. Pressure was seen to lower the LCST by breaking hydrogen bonds. At even higher temperature (beyond the boiling point of water) a UCST transition was observed."
41	"Han CC"	0	"Abstr Pap Am Chem S 222: 132-PMSE 2 (2001)"	"2001"			0	"NG7SANS"	"NOT CHRNS"	"Small angle neutron scattering study on polymer-clay solutions."	"Schmidt G"	"Nakatani AI"	"et al."	"Polymer"	"Composites"	"Journal not available online"
42	"Hanley HJM"	1	"International Journal of Thermophysics"	"2001"	"22 (5)"	"1435"	1	"NG7SANS"	"NOT CHRNS"	"A SANS study of organoclay dispersions"	"Muzny CD"	"Ho DL"	"Glinka C, Manias"	"Complex fluids"	"Clay dispersions"	"Small-angle neutron scattering (SANS) is used to investigate the dispersion in toluene of various forms of the complex, Cloisite C15A. Cloisite is a commercially important exchanged clay prepared from montmorillonite and the cation di-tallow ammonium. Points discussed include estimates of the extent to which the complex is dispersed, the amount of organic clay platelet surface layer coverage, and possible network formation of the complex in the solvent. From power-law plots of the scattered neutron intensity versus the wave vector, it is estimated that C15A is well dispersed into clusters which consist of a stack of between three and seven di-tallow-coated montmorillonite platelets. The removal of excess di-tallow from the surface layer reduces the number of platelets in the cluster. Substitution of dimethydioctodecyl ammonium for the di-tallow molecule promotes network formation. It is demonstrated that SANS is a powerful tool for examining these complicated organic/inorganic systems."
43	"Hanley HJM"	1	"Langmuir"	"2003"	"19 (14)"	"5575"	1	"NG7SANS"	"NOT CHRNS"	"A small-angle neutron scattering study of a commercial organoclay dispersion"	"Muzny CD"	"Ho DL"	"Glinka C"	"Complex fluids"	"Clay dispersions"	"The paper explores the capacity of small angle neutron neutron scattering (SANS) to characterize the dispersion of an exchanged clay in an organic solvent. As an illustration, results are reported for 1% and 2% by mass suspensions of a representative commercial complex, known as Cloisite, C15A in toluene. C15A is prepared from montmorillonite and the cation ditallow (a naturally occurring variant of dimethydioctodecylammonium). For this particular example, the SANS scattered intensity data suggest that the complex is well dispersed into clusters which consist of a stack of between three and six ditallow-coated montmorillonite platelets. The size of the clusters, the amount of ditallow adsorbed on a montmorillonite platelet, and an estimate of the thickness of the adsorbed layer are evaluated. General comments on the fitting of SANS data obtained from a cluster composed of stacked, coated disks are given."
